,game_id,sc_count
0,16,10
1,122,12
2,124,10
3,196,7
4,199,15
5,242,11
6,273,11
7,277,8
8,353,18
9,448,6
10,452,6
11,466,8
12,576,19
13,581,12
14,599,18
15,600,8
16,601,4
17,612,13
18,613,9
19,682,30
20,683,9
21,884,23
22,1146,16
23,1178,13
24,1217,9
25,1266,23
26,1424,11
27,1434,6
28,1447,12
29,1461,9
30,1466,10
31,1823,9
32,1826,2
33,1837,5
34,1839,8
35,1883,15
36,1884,10
37,2019,9
38,2078,7
39,2342,2
40,2619,8
41,2927,10
42,3142,12
43,3345,13
44,3475,5
45,3601,15
46,3762,9
47,3871,10
48,3881,21
49,3887,6
50,4272,7
51,4386,5
52,4444,11
53,4577,9
54,4639,7
55,4642,7
56,5776,10
57,5960,9
58,6075,6
59,6197,7
60,6597,15
61,6599,16
62,6633,10
63,6656,8
64,6677,9
65,6678,6
66,6681,19
67,6744,7
68,6986,16
69,7062,17
70,7278,10
71,7332,7
72,7335,15
73,7428,9
74,7432,9
75,7461,8
76,7486,30
77,7508,10
78,7599,5
79,7600,5
80,7685,2
81,7950,29
82,8050,9
83,8053,27
84,8064,22
85,8127,9
86,8194,28
87,8220,8
88,8230,8
89,8237,13
90,8247,11
91,8249,11
92,8261,12
93,8262,4
94,8264,7
95,8265,13
96,8315,16
97,8330,28
98,8366,23
99,8402,0
100,8421,23
101,8548,20
102,8557,8
103,8618,22
104,8756,16
105,8921,22
106,9002,22
107,9470,14
108,9596,19
109,9633,12
110,9715,30
111,9763,8
112,9815,9
113,9832,30
114,9897,24
115,10090,11
116,10128,22
117,10167,24
118,10344,9
119,10650,10
120,10651,3
121,10783,21
122,10853,17
123,11254,11
124,11460,0
125,11550,21
126,11593,27
127,11678,26
128,11939,9
129,11955,11
130,12004,4
131,12326,13
132,12370,24
133,12579,20
134,12580,12
135,12581,9
136,12585,18
137,12588,30
138,12989,21
139,13022,8
140,13104,8
141,13188,10
142,13273,14
143,13276,30
144,13332,27
145,13337,27
146,13347,28
147,13373,29
148,13374,31
149,13454,54
150,13456,46
151,13601,13
152,13722,5
153,13747,29
154,13748,29
155,13749,30
156,13907,20
157,13997,13
158,14309,43
159,14311,13
160,14312,21
161,14531,26
162,14532,23
163,14533,21
164,14695,11
165,15169,8
166,15308,7
167,15436,7
168,15622,28
169,15624,22
170,15625,22
171,15682,21
172,15716,26
173,15717,28
174,15718,9
175,15719,9
176,15815,27
177,15816,13
178,15817,12
179,15862,14
180,15863,19
181,15864,26
182,15874,2
183,15875,5
184,15877,11
185,15878,16
186,15879,6
187,15880,5
188,15881,5
189,15912,8
190,15928,7
191,15930,12
192,15931,11
193,16055,30
194,16056,20
195,16069,21
196,16198,12
197,16543,13
198,16595,4
199,16632,23
200,16651,9
201,16739,12
202,16740,9
203,17060,20
204,17382,20
205,17434,9
206,17519,23
207,18221,17
208,18232,15
209,18544,27
210,18756,7
211,19986,11
212,20103,10
213,20308,11
214,20658,5
215,20677,18
216,22017,14
217,22313,16
218,22518,15
219,22825,15
220,23492,24
221,23788,26
222,23799,27
223,23834,17
224,24098,8
225,24113,30
226,24310,8
227,24560,5
228,24727,19
229,25308,23
230,25315,20
231,25328,20
232,25377,14
233,25455,8
234,26053,10
235,26103,30
236,26282,25
237,26499,22
238,26916,17
239,26936,19
240,27000,24
241,27009,14
242,27011,0
243,27012,0
244,27013,0
245,27062,18
246,27611,30
247,27829,17
248,27839,28
249,28205,5
250,28290,21
251,28350,20
252,28353,7
253,30976,9
254,31137,10
255,31900,11
256,31902,11
257,31911,10
258,32323,14
259,32326,19
260,32328,14
261,32654,5
262,33226,8
263,33227,7
264,33842,7
265,34856,22
266,35009,4
267,35894,5
268,35895,3
269,36261,23
270,36367,0
271,36369,5
272,36378,24
273,36523,11
274,36588,13
275,36673,4
276,36688,16
277,36993,12
278,37150,22
279,37555,24
280,37697,22
281,37773,29
282,38615,22
283,39218,8
284,39421,16
285,39767,6
286,42305,4
287,42573,13
288,42584,10
289,42830,16
290,43951,12
291,45367,10
292,45596,8
293,45659,10
294,48140,8
295,48211,21
296,48237,9
297,48823,13
298,53053,12
299,54138,7
300,54149,12
301,54210,12
302,54215,0
303,56277,6
304,56278,4
305,56337,21
306,56515,18
307,56516,1
308,56521,21
309,56533,11
310,56544,9
311,56694,8
312,56695,5
313,56696,4
314,56697,13
315,56791,9
316,56792,5
317,56793,24
318,56836,18
319,56837,13
320,56956,4
321,57148,7
322,57694,6
323,57727,10
324,61129,17
325,67950,21
326,68063,9
327,68961,18
328,71453,29
329,76611,7
330,80098,12
331,81272,6
332,81669,9
333,82587,0
334,96201,36
335,96235,8
336,113647,5
337,130581,0
338,130798,0
339,131439,0
340,138670,8
341,139699,7
342,140575,8
343,141704,10
344,141940,9
345,143852,0
346,155269,21
347,169666,18
348,172510,14
349,173918,10
350,188223,0
351,188254,0
352,188297,0
353,188298,8
354,188299,0
355,188301,0
356,201968,0
