,game_id,sc_count
0,16,8
1,96,2
2,106,0
3,165,0
4,184,0
5,302,20
6,312,13
7,338,11
8,340,0
9,342,17
10,346,0
11,348,15
12,365,3
13,373,17
14,374,8
15,376,0
16,468,0
17,565,0
18,585,0
19,600,27
20,657,5
21,672,0
22,675,0
23,693,0
24,788,0
25,810,16
26,827,6
27,841,0
28,851,2
29,907,18
30,927,0
31,961,8
32,1124,13
33,1125,0
34,1131,0
35,1164,43
36,1190,23
37,1195,9
38,1218,0
39,1219,8
40,1223,13
41,1262,8
42,1265,0
43,1267,39
44,1355,0
45,1370,0
46,1434,5
47,1510,0
48,1531,0
49,1539,0
50,1542,6
51,1708,30
52,1713,10
53,1806,25
54,1861,0
55,1904,7
56,1938,0
57,2036,0
58,2083,0
59,2122,0
60,2137,8
61,2177,0
62,2208,10
63,2230,3
64,2246,7
65,2247,10
66,2283,0
67,2314,0
68,2342,1
69,2389,0
70,2522,14
71,2781,0
72,2884,6
73,2887,6
74,2897,8
75,2899,9
76,2926,14
77,2935,9
78,2947,23
79,2966,5
80,2968,0
81,2981,14
82,3102,0
83,3112,0
84,3134,0
85,3136,1
86,3186,0
87,3202,0
88,3215,0
89,3216,0
90,3266,10
91,3320,0
92,3339,9
93,3368,0
94,3400,0
95,3413,0
96,3426,0
97,3468,0
98,3494,9
99,3631,0
100,3654,0
101,3659,43
102,3661,0
103,3663,21
104,3690,1
105,3705,0
106,3706,0
107,3707,0
108,3708,21
109,3709,5
110,3732,26
111,3739,9
112,3746,0
113,3753,0
114,3793,0
115,3903,1
116,3935,10
117,3939,0
118,3956,0
119,3978,17
120,4046,22
121,4065,0
122,4071,11
123,4104,0
124,4142,0
125,4168,9
126,4179,10
127,4190,0
128,4205,21
129,4252,7
130,4257,0
131,4319,0
132,4409,0
133,4410,24
134,4473,0
135,4759,5
136,4772,12
137,4835,0
138,4840,10
139,4843,16
140,4846,0
141,5005,7
142,5016,7
143,5019,0
144,5022,26
145,5027,0
146,5031,0
147,5038,0
148,5042,0
149,5140,0
150,5165,0
151,5301,16
152,5336,0
153,5379,0
154,5441,0
155,5565,9
156,5584,13
157,5715,1
158,5751,1
159,5859,6
160,5864,9
161,5959,33
162,5983,8
163,5993,22
164,6031,4
165,6142,7
166,6145,0
167,6167,0
168,6170,0
169,6569,0
170,6593,11
171,6648,0
172,6764,0
173,6765,0
174,7163,0
175,7238,0
176,7436,22
177,7437,3
178,7450,25
