,game_id,sc_count
0,16,18
1,110,6
2,115,23
3,138,0
4,166,40
5,196,11
6,199,21
7,205,11
8,210,34
9,213,8
10,265,16
11,267,10
12,273,11
13,277,14
14,323,26
15,340,19
16,353,8
17,373,23
18,432,11
19,435,19
20,448,7
21,452,23
22,466,13
23,468,14
24,498,12
25,501,8
26,508,0
27,555,14
28,564,14
29,576,13
30,581,23
31,588,13
32,599,14
33,600,38
34,601,40
35,612,10
36,613,8
37,615,9
38,627,26
39,675,10
40,682,7
41,683,31
42,689,20
43,792,40
44,794,9
45,827,17
46,841,29
47,888,22
48,933,14
49,987,42
50,989,20
51,1010,6
52,1067,8
53,1146,9
54,1250,11
55,1266,11
56,1317,14
57,1319,16
58,1425,10
59,1447,12
60,1461,44
61,1473,29
62,1487,7
63,1533,24
64,1539,11
65,1540,4
66,1547,11
67,1603,22
68,1620,21
69,1644,7
70,1727,6
71,1737,24
72,1823,7
73,1839,10
74,1840,12
75,1841,8
76,1903,9
77,1904,23
78,1927,21
79,1928,14
80,1931,8
81,1932,31
82,1934,31
83,1993,12
84,2019,13
85,2020,14
86,2055,14
87,2063,8
88,2069,20
89,2077,27
90,2078,21
91,2099,12
92,2109,11
93,2110,20
94,2272,9
95,2314,14
96,2399,19
97,2464,9
98,2507,14
99,2532,9
100,2622,9
101,2623,11
102,2837,10
103,2906,12
104,2916,17
105,2927,26
106,2928,13
107,2929,10
108,2981,10
109,3112,14
110,3142,26
111,3300,19
112,3343,19
113,3345,7
114,3494,26
115,3762,14
116,3871,5
117,3887,9
118,4011,15
119,4020,10
120,4253,6
121,4276,50
122,4386,10
123,4444,8
124,4577,11
125,4642,20
126,4772,13
127,4775,22
128,4813,15
129,4835,17
130,4840,13
131,4848,21
132,4885,9
133,4944,15
134,5012,0
135,5505,27
136,5565,14
137,5656,8
138,5664,17
139,5676,11
140,5755,17
141,5776,24
142,5780,40
143,5825,6
144,5883,19
145,6134,11
146,6154,28
147,6197,20
148,6558,11
149,6564,17
150,6579,21
151,6581,35
152,6584,45
153,6593,25
154,6594,19
155,6597,17
156,6599,33
157,6600,22
158,6605,29
159,6609,9
160,6611,26
161,6612,19
162,6614,13
163,6616,33
164,6620,21
165,6623,2
166,6625,11
167,6633,39
168,6639,50
169,6640,14
170,6642,19
171,6649,31
172,6653,11
173,6654,22
174,6656,12
175,6657,28
176,6658,19
177,6661,31
178,6662,13
179,6666,7
180,6669,19
181,6670,15
182,6673,17
183,6677,10
184,6678,7
185,6681,35
186,6691,18
187,6693,15
188,6699,28
189,6733,13
190,6743,20
191,6744,14
192,6745,16
193,6747,12
194,6765,5
195,6766,44
196,6789,10
197,6819,18
198,6877,12
199,6955,29
200,6966,23
201,6983,27
202,6990,18
203,6992,30
204,7005,8
205,7009,20
206,7027,23
207,7061,5
208,7062,10
209,7087,14
210,7088,18
211,7102,7
212,7125,30
213,7135,10
214,7139,23
215,7143,46
216,7145,5
217,7147,22
218,7149,7
219,7150,21
220,7151,19
221,7156,18
222,7163,29
223,7184,18
224,7236,14
225,7247,23
226,7255,14
227,7258,8
228,7259,4
229,7272,24
230,7277,37
231,7278,5
232,7335,21
233,7384,9
234,7397,47
235,7428,17
236,7432,15
237,7447,8
238,7461,15
239,7478,11
240,7486,16
241,7487,5
242,7488,8
243,7501,21
244,7528,5
245,7534,19
246,7541,15
247,7551,1
248,7568,6
249,7600,12
250,7646,21
251,7685,11
252,7730,12
253,7748,15
254,7749,11
255,7789,20
256,7802,25
257,7807,18
258,7813,19
259,7817,32
260,7887,12
261,7950,9
262,7960,12
263,7987,10
264,8003,6
265,8030,5
266,8049,16
267,8050,9
268,8051,10
269,8052,14
270,8053,32
271,8059,22
272,8063,9
273,8064,10
274,8065,21
275,8072,25
276,8073,16
277,8131,9
278,8191,45
279,8194,0
280,8221,18
281,8222,30
282,8307,12
283,8314,9
284,8337,19
285,8381,18
286,8468,18
287,8494,22
