,game_id,sc_count
0,276,10
1,286,0
2,326,0
3,345,5
4,369,1
5,374,4
6,385,41
7,542,3
8,623,0
9,633,0
10,657,0
11,841,5
12,962,9
13,1128,22
14,1155,0
15,1161,8
16,1188,0
17,1308,16
18,1371,1
19,1442,0
20,1938,15
21,2036,8
22,2182,30
23,2203,26
24,2204,21
25,2214,0
26,2490,5
27,2575,12
28,2629,3
29,2765,3
30,2766,0
31,2768,3
32,2826,0
33,2827,1
34,2970,13
35,2971,20
36,2996,17
37,3008,7
38,3105,11
39,3114,0
40,3126,0
41,3145,9
42,3164,5
43,3191,0
44,3228,0
45,3322,1
46,3416,8
47,3513,7
48,3528,43
49,3533,46
50,3535,26
51,3536,7
52,3537,25
53,3538,32
54,3540,5
55,3541,4
56,3546,24
57,3548,30
58,3549,38
59,3550,39
60,3567,15
61,3582,30
62,3583,30
63,3584,5
64,3587,13
65,3589,3
66,3590,1
67,3617,2
68,3622,32
69,3623,13
70,3634,6
71,3636,6
72,3646,16
73,3650,2
74,3667,44
75,3669,0
76,3677,30
77,3714,3
78,3738,0
79,3754,20
80,3755,12
81,3761,30
82,3763,3
83,3782,10
84,3789,30
85,3792,15
86,3847,0
87,3863,0
88,3898,6
89,3942,21
90,3945,3
91,3969,0
92,3993,30
93,4034,19
94,4047,15
95,4145,10
96,4146,11
97,4176,13
98,4178,19
99,4186,31
100,4187,19
101,4188,12
102,4252,30
103,4333,4
104,4387,9
105,4388,8
106,4389,10
107,4390,0
108,4457,14
109,4494,32
110,4511,11
111,4598,0
112,4599,12
113,4681,9
114,4691,6
115,4694,0
116,4737,21
117,4833,12
118,4839,10
119,4845,3
120,4923,9
121,4978,29
122,5195,24
123,5279,11
124,5288,22
125,5337,19
126,5339,3
127,5431,1
128,5434,0
129,5498,58
130,5600,0
131,5863,4
132,5864,10
133,6132,13
134,6133,14
135,6213,11
136,6246,3
137,6372,3
138,6438,17
139,6448,9
140,6485,4
141,6521,22
142,6523,0
143,6525,37
144,6526,0
145,6527,0
146,6531,4
147,6532,9
148,6533,1
149,6534,2
150,6535,0
151,6568,6
152,6634,0
153,6688,0
154,6869,15
155,7015,1
156,7089,25
157,7237,9
158,8062,4
159,8090,35
160,8384,9
161,8443,3
162,8444,15
163,8450,22
164,8451,0
165,8452,3
166,8466,0
167,8467,4
168,8468,0
169,8486,10
170,8506,7
171,8507,14
172,8508,15
173,8509,3
174,8510,0
175,8514,23
176,8515,2
177,8800,0
178,8803,10
179,8898,17
180,8899,6
181,8916,0
182,8919,6
183,8920,10
184,8922,9
185,8930,0
186,8932,0
187,8946,0
188,8947,11
189,9095,0
190,9096,19
191,9122,18
192,9123,0
193,9124,0
194,9130,21
195,9131,20
196,9132,4
197,9145,2
198,9146,0
199,9148,4
200,9150,3
201,9151,4
202,9152,0
203,9153,0
204,9154,0
205,9155,0
206,9164,0
207,9165,3
208,9166,0
209,9171,1
210,9172,3
211,9178,29
212,9179,1
213,9180,19
214,9195,10
215,9196,0
216,9199,4
217,9233,30
218,9234,10
219,9235,0
220,9239,14
221,9270,7
222,9673,4
223,9760,12
224,10102,19
225,10130,14
226,10240,0
227,10454,1
228,10514,0
229,11512,0
230,12501,0
231,13236,0
232,14070,4
233,14071,0
234,14988,0
235,15429,0
236,15755,9
237,16435,0
238,17343,12
239,17889,24
240,18799,9
241,18929,0
242,19210,3
243,19817,1
244,20363,0
245,20578,30
246,20938,30
247,21284,30
248,21430,1
249,21495,0
250,21497,0
251,21498,11
252,21570,10
253,21598,1
254,21604,2
255,21657,26
256,22905,2
257,22911,31
258,23113,30
259,24146,0
260,24587,9
261,24638,1
262,26228,0
263,27601,0
264,27994,0
265,28890,10
266,28978,13
267,29540,7
268,30372,40
269,30996,14
270,31053,0
271,31057,0
272,31867,5
273,32170,7
274,32203,3
275,32229,4
276,32231,12
277,32242,3
278,32250,14
279,32308,7
280,33522,0
281,34281,11
282,35832,0
283,35906,0
284,36048,0
285,36133,46
286,36137,17
287,36170,30
288,36275,18
289,36402,0
290,36467,0
291,36512,24
292,36671,0
293,36823,12
294,38182,0
295,38433,18
296,38484,17
297,38536,0
298,38682,0
299,38772,5
300,38794,0
301,41018,10
302,49902,18
303,52835,16
304,55754,1
305,55764,0
306,55776,0
307,55960,0
308,55985,11
309,55995,0
310,55997,0
311,55998,6
312,56012,0
313,56013,7
314,56016,8
315,56026,0
316,61712,0
317,62465,0
318,65928,8
319,67476,0
320,67972,37
321,68953,0
322,69484,0
323,69485,0
324,69486,0
325,69487,0
326,73065,0
327,73115,3
328,73768,1
329,75531,14
330,76398,0
331,79236,0
332,79263,0
333,88090,0
334,89865,3
335,96909,0
336,97845,0
337,105142,0
338,108588,0
339,108817,0
340,110237,0
341,110896,0
342,123177,0
343,136679,0
344,136810,0
345,141377,13
346,144560,4
347,146416,0
348,150957,0
349,160562,3
350,185969,0
351,193595,0
352,200987,0
353,200988,0
354,201201,0
355,201202,0
356,201230,0
357,201231,0
358,201274,0
359,201275,0
360,201278,0
361,201314,0
362,201319,0
363,201477,0
364,201479,0
365,201486,0
366,201487,0
367,201488,0
368,201495,0
369,201856,0
370,201893,0
371,201894,0
372,201900,0
373,201906,0
374,201907,0
375,201910,0
376,201911,0
377,201912,0
