,game_id,moby_url,title
322,69484,https://www.mobygames.com/game/69484/mario-artist-paint-studio/,Mario Artist: Paint Studio
323,69485,https://www.mobygames.com/game/69485/mario-artist-talent-studio/,Mario Artist: Talent Studio
324,69486,https://www.mobygames.com/game/69486/mario-artist-polygon-studio/,Mario Artist: Polygon Studio
325,69487,https://www.mobygames.com/game/69487/mario-artist-communication-kit/,Mario Artist: Communication Kit
326,73065,https://www.mobygames.com/game/73065/madden-nfl-2001/,Madden NFL 2001
327,73115,https://www.mobygames.com/game/73115/madden-nfl-2002/,Madden NFL 2002
328,73768,https://www.mobygames.com/game/73768/dobutsu-no-mori/,Dōbutsu no Mori
329,75531,https://www.mobygames.com/game/75531/magical-tetris-challenge/,Magical Tetris Challenge
330,76398,https://www.mobygames.com/game/76398/sabans-power-rangers-lightspeed-rescue/,Saban's Power Rangers: Lightspeed Rescue
331,79236,https://www.mobygames.com/game/79236/pokemon-stadium-battle-set/,Pokémon Stadium Battle Set
332,79263,https://www.mobygames.com/game/79263/donkey-kong-64-set/,Donkey Kong 64 Set
333,88090,https://www.mobygames.com/game/88090/the-legend-of-zelda-majoras-mask-limited-edition-adventure-set/,The Legend of Zelda: Majora's Mask (Limited Edition Adventure Set)
334,89865,https://www.mobygames.com/game/89865/command-conquer/,Command & Conquer
335,96909,https://www.mobygames.com/game/96909/f-zero-x-expansion-kit/,F-Zero X: Expansion Kit
336,97845,https://www.mobygames.com/game/97845/wonder-project-j2/,Wonder Project J2
337,105142,https://www.mobygames.com/game/105142/last-legion-ux/,Last Legion UX
338,108588,https://www.mobygames.com/game/108588/pachinko-365-nichi/,Pachinko 365 Nichi
339,108817,https://www.mobygames.com/game/108817/harukanaru-augusta-masters-98/,Harukanaru Augusta Masters '98
340,110237,https://www.mobygames.com/game/110237/zool-maju-tsukai-densetsu/,Zool: Majū Tsukai Densetsu
341,110896,https://www.mobygames.com/game/110896/nba-live-99/,NBA Live 99
342,123177,https://www.mobygames.com/game/123177/sesame-street-elmos-number-journey/,Sesame Street: Elmo's Number Journey
343,136679,https://www.mobygames.com/game/136679/famista-64/,Famista 64
344,136810,https://www.mobygames.com/game/136810/flappy-bird/,Flappy Bird
345,141377,https://www.mobygames.com/game/141377/forsaken-64/,Forsaken 64
346,144560,https://www.mobygames.com/game/144560/fushigi-no-dungeon-furai-no-shiren-2-oni-shurai-shiren-jo/,Fushigi no Dungeon: Fūrai no Shiren 2: Oni Shūrai! Shiren-jō!
347,146416,https://www.mobygames.com/game/146416/japan-pro-golf-tour-64/,Japan Pro Golf Tour 64
348,150957,https://www.mobygames.com/game/150957/sudoq/,SudoQ
349,160562,https://www.mobygames.com/game/160562/john-romeros-daikatana/,John Romero's Daikatana
350,185969,https://www.mobygames.com/game/185969/derby-stallion-64/,Derby Stallion 64
351,193595,https://www.mobygames.com/game/193595/saikyo-habu-shogi/,Saikyō Habu Shōgi
352,200987,https://www.mobygames.com/game/200987/eiko-no-st-andrews/,Eikō no St. Andrews
353,200988,https://www.mobygames.com/game/200988/mahjong-master/,Mahjong Master
354,201201,https://www.mobygames.com/game/201201/64-hanafuda-tenshi-no-yakusoku/,64 Hanafuda: Tenshi no Yakusoku
355,201202,https://www.mobygames.com/game/201202/64-trump-collection-alice-no-waku-waku-trump-world/,64 Trump Collection: Alice no Waku Waku Trump World
356,201230,https://www.mobygames.com/game/201230/64-ozumo-2/,64 Ōzumō 2
357,201231,https://www.mobygames.com/game/201231/ai-shogi-3/,AI Shōgi 3
358,201274,https://www.mobygames.com/game/201274/bass-rush-ecogear-powerworm-championship/,Bass Rush: ECOGEAR Powerworm Championship
359,201275,https://www.mobygames.com/game/201275/choro-q-64-2-hacha-mecha-grand-prix-race/,Choro Q 64 2: Hacha-Mecha Grand Prix Race
360,201278,https://www.mobygames.com/game/201278/chokukan-night-pro-yakyu-king-2/,Chōkūkan Night: Pro Yakyū King 2
361,201314,https://www.mobygames.com/game/201314/custom-robo/,Custom Robo
362,201319,https://www.mobygames.com/game/201319/densha-de-go-64/,Densha de Go! 64
363,201477,https://www.mobygames.com/game/201477/doraemon-2-nobita-to-hikari-no-shinden/,Doraemon 2: Nobita To Hikari No Shinden
364,201479,https://www.mobygames.com/game/201479/doraemon-3-nobita-no-machi-sos/,Doraemon 3: Nobita no Machi SOS!
365,201486,https://www.mobygames.com/game/201486/hamster-monogatari-64/,Hamster Monogatari 64
366,201487,https://www.mobygames.com/game/201487/heiwa-pachinko-world-64/,Heiwa Pachinko World 64
367,201488,https://www.mobygames.com/game/201488/ide-yosuke-no-mahjong-juku/,Ide Yōsuke no Mahjong Juku
368,201495,https://www.mobygames.com/game/201495/itoi-shigesato-no-bass-tsuri-no-1-ketteihan/,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!
369,201856,https://www.mobygames.com/game/201856/j-league-dynamite-soccer-64/,J-League Dynamite Soccer 64
370,201893,https://www.mobygames.com/game/201893/j-league-eleven-beat-1997/,J-League Eleven Beat 1997
371,201894,https://www.mobygames.com/game/201894/j-league-tactics-soccer/,J-League Tactics Soccer
372,201900,https://www.mobygames.com/game/201900/jango-simulation-mahjong-do-64/,Jangō Simulation Mahjong-dō 64
373,201906,https://www.mobygames.com/game/201906/jikkyo-gi-stable/,Jikkyō GI Stable
374,201907,https://www.mobygames.com/game/201907/jikkyo-j-league-perfect-striker/,Jikkyō J. League: Perfect Striker
375,201910,https://www.mobygames.com/game/201910/jikkyo-j-league-1999-perfect-striker-2/,Jikkyō J-League 1999: Perfect Striker 2
376,201911,https://www.mobygames.com/game/201911/jikkyo-powerful-pro-yakyu-4/,Jikkyō Powerful Pro Yakyū 4
377,201912,https://www.mobygames.com/game/201912/jikkyo-powerful-pro-yakyu-5/,Jikkyō Powerful Pro Yakyū 5
