,game_id,sc_count
0,16,10
1,77,25
2,102,17
3,124,6
4,133,9
5,137,5
6,138,4
7,139,6
8,140,4
9,141,5
10,199,30
11,243,8
12,298,7
13,360,9
14,411,15
15,432,10
16,457,0
17,459,0
18,466,11
19,467,5
20,498,7
21,574,19
22,575,23
23,576,7
24,582,13
25,599,24
26,600,26
27,601,29
28,767,0
29,768,0
30,769,0
31,787,14
32,794,17
33,857,0
34,888,15
35,890,0
36,920,10
37,961,7
38,984,6
39,1030,14
40,1050,10
41,1087,6
42,1088,9
43,1124,6
44,1128,9
45,1159,0
46,1218,10
47,1266,50
48,1279,6
49,1299,7
50,1313,12
51,1317,20
52,1397,6
53,1409,31
54,1424,6
55,1425,6
56,1434,16
57,1447,14
58,1503,9
59,1531,21
60,1540,7
61,1542,3
62,1553,12
63,1558,12
64,1617,18
65,1618,7
66,1641,7
67,1708,0
68,1813,6
69,1837,15
70,1838,9
71,1839,20
72,1840,27
73,1841,12
74,1883,12
75,1884,17
76,2019,28
77,2062,9
78,2111,32
79,2112,0
80,2121,0
81,2342,10
82,2466,9
83,2887,0
84,2962,0
85,2966,0
86,2981,11
87,3020,17
88,3056,0
89,3102,19
90,3126,3
91,3195,12
92,3268,0
93,3339,26
94,3343,10
95,3345,12
96,3475,13
97,3476,4
98,3481,11
99,3542,0
100,3543,0
101,3545,0
102,3554,0
103,3568,31
104,3569,12
105,3575,0
106,3587,17
107,3588,0
108,3589,31
109,3590,0
110,3612,13
111,3632,1
112,3659,15
113,3660,16
114,3661,33
115,3667,0
116,3676,21
117,3679,22
118,3680,0
119,3683,25
120,3705,23
121,3706,31
122,3707,41
123,3716,17
124,3721,10
125,3724,0
126,3733,13
127,3746,17
128,3748,1
129,3753,21
130,3762,24
131,3793,35
132,3794,0
133,3798,0
134,3829,0
135,3871,17
136,3881,11
137,3915,18
138,3916,14
139,3917,0
140,3929,4
141,3955,7
142,3982,0
143,4001,10
144,4010,19
145,4048,30
146,4059,5
147,4065,27
148,4068,0
149,4070,0
150,4071,12
151,4104,28
152,4105,22
153,4110,23
154,4144,1
155,4156,0
156,4176,2
157,4193,14
158,4252,13
159,4272,6
160,4276,13
161,4279,2
162,4287,2
163,4301,18
164,4325,0
165,4348,11
166,4350,0
167,4412,0
168,4441,16
169,4444,13
170,4483,7
171,4496,15
172,4511,0
173,4512,28
174,4516,3
175,4569,0
176,4577,19
177,4593,4
178,4632,10
179,4642,13
180,4644,18
181,4737,0
