,game_id,sc_count
0,3321,0
1,3551,0
2,3575,15
3,3714,37
4,3720,0
5,3929,0
6,3982,11
7,4306,0
8,4325,18
9,4514,0
10,4705,15
11,5003,0
12,5063,11
13,5082,22
14,5089,0
15,5163,0
16,5190,0
17,5278,0
18,5279,0
19,5314,0
20,5327,30
21,5372,14
22,5495,0
23,5500,8
24,5501,50
25,5502,25
26,5504,0
27,5526,0
28,5531,0
29,5557,0
30,5569,21
31,5575,11
32,5594,13
33,5644,7
34,5674,29
35,5703,0
36,5798,0
37,5805,7
38,5901,1
39,6017,11
40,6039,0
41,6049,0
42,6073,0
43,6083,0
44,6111,0
45,6143,0
46,6217,16
47,6329,0
48,6398,0
49,6417,20
50,6419,0
51,6420,0
52,6445,12
53,6498,0
54,6504,15
55,6544,0
56,6651,0
57,6706,23
58,6724,0
59,6782,7
60,6788,0
61,6825,26
62,6826,0
63,6836,0
64,6914,0
65,6995,8
66,7034,0
67,7039,0
68,7043,0
69,7072,0
70,7085,19
71,7105,11
72,7178,28
73,7179,0
74,7188,33
75,7252,16
76,7256,16
77,7290,15
78,7353,0
79,7369,0
80,7385,0
81,7403,0
82,7431,0
83,7442,30
84,7452,5
85,7458,0
86,7490,40
87,7542,0
88,7566,0
89,7574,0
90,7580,12
91,7607,14
92,7663,15
93,7665,0
94,7667,0
95,7714,0
96,7716,0
97,7738,18
98,7741,7
99,7746,37
100,7770,0
101,7776,26
102,7777,50
103,7780,0
104,7783,30
105,7787,0
106,7790,0
107,7798,0
108,7804,0
109,7808,0
110,7811,0
111,7815,0
112,7819,0
113,8046,0
114,8084,8
115,8266,0
116,8274,12
117,8292,0
118,8339,0
119,8352,0
120,8363,0
121,8574,0
122,8578,1
123,8587,0
124,8602,0
125,8654,0
126,8681,19
127,8683,0
128,8701,0
129,8725,37
130,8892,0
131,8895,8
132,8896,0
133,8964,0
134,8988,0
135,9023,0
136,9182,0
137,9208,0
138,9211,0
139,9215,30
140,9246,30
141,9251,0
142,9254,13
143,9271,10
144,9282,0
145,9289,0
146,9307,0
147,9345,0
148,9346,0
149,9403,0
150,9450,30
151,9478,10
152,9486,0
153,9577,8
154,9578,0
155,9584,43
156,9615,20
157,9635,0
158,9647,0
159,9652,0
160,9661,0
161,9662,0
162,9670,0
163,9726,22
164,9950,0
165,9971,0
166,10019,30
167,10021,0
168,10107,0
169,10124,0
170,10159,7
171,10163,0
172,10183,26
173,10184,0
174,10211,0
175,10347,18
176,10383,0
177,10421,18
178,10424,0
179,10425,0
180,10560,0
181,10584,0
182,10595,0
183,10626,30
184,10654,23
185,10665,0
186,10671,0
187,10700,0
188,10701,0
189,10741,19
190,10742,0
191,10746,28
192,10751,30
193,10822,0
194,10839,0
195,10862,0
196,10893,0
197,10894,0
198,10895,0
