,game_id,sc_count
0,27,21
1,45,19
2,48,17
3,49,9
4,73,10
5,77,23
6,124,8
7,130,21
8,137,5
9,138,15
10,139,8
11,181,15
12,193,9
13,196,20
14,214,37
15,242,12
16,243,8
17,291,15
18,466,14
19,467,5
20,496,16
21,497,7
22,502,17
23,506,7
24,574,7
25,576,11
26,582,25
27,683,13
28,714,40
29,762,8
30,787,16
31,819,9
32,878,29
33,884,26
34,888,31
35,1030,9
36,1069,59
37,1070,20
38,1071,19
39,1087,11
40,1088,11
41,1146,10
42,1209,13
43,1215,6
44,1217,18
45,1268,9
46,1273,8
47,1299,13
48,1304,9
49,1313,7
50,1324,12
51,1397,5
52,1432,15
53,1434,14
54,1436,50
55,1466,19
56,1558,12
57,1615,19
58,1617,25
59,1618,15
60,1619,15
61,1729,17
62,1812,5
63,1823,10
64,1838,16
65,1839,19
66,1884,22
67,1903,9
68,1926,14
69,1927,3
70,1930,20
71,1932,20
72,1950,5
73,2019,4
74,2026,9
75,2062,28
76,2069,6
77,2112,7
78,2137,12
79,2206,6
80,2466,33
81,2532,12
82,2619,10
83,2964,6
84,3020,21
85,3092,15
86,3138,8
87,3142,11
88,3345,1
89,3393,41
90,3475,17
91,3476,6
92,3481,8
93,3507,3
94,3511,6
95,3601,16
96,3733,30
97,3874,8
98,3887,10
99,3930,6
100,3961,12
101,3984,10
102,4020,23
103,4032,7
104,4059,9
105,4230,14
106,4253,3
107,4272,4
108,4279,10
109,4386,10
110,4398,6
111,4402,9
112,4444,10
113,4512,7
114,4516,5
115,4577,9
116,4608,11
117,4632,11
118,4642,7
119,4644,8
120,4775,6
121,4958,16
122,5084,12
123,5091,14
124,5108,12
125,5155,17
126,5201,13
127,5285,27
128,5505,25
129,5646,22
130,5786,9
131,5825,14
132,5893,5
133,5952,6
134,6026,6
135,6116,8
136,6134,29
137,6146,5
138,6154,12
139,6167,6
140,6197,7
141,6564,16
142,6582,13
143,6628,14
144,6631,18
145,6739,20
146,6926,13
147,6932,32
148,6939,16
149,6986,19
150,7009,6
151,7099,32
152,7106,8
153,7124,29
154,7187,6
155,7208,38
156,7221,10
157,7223,7
158,7296,32
159,7297,17
160,7298,36
161,7299,41
162,7300,50
163,7301,6
164,7302,5
165,7303,37
166,7312,8
167,7313,17
168,7316,6
169,7318,6
170,7320,11
171,7321,16
172,7322,26
173,7323,6
174,7331,29
175,7332,6
176,7333,24
177,7334,17
178,7335,15
179,7338,4
180,7356,40
181,7357,10
182,7358,30
183,7359,11
184,7373,38
185,7374,11
186,7375,8
187,7377,17
188,7388,6
189,7389,7
190,7413,24
191,7415,33
192,7448,10
193,7462,6
194,7465,4
195,7469,12
196,7470,33
197,7483,21
198,7501,6
199,7504,11
200,7505,8
201,7506,8
202,7508,20
203,7511,31
204,7514,9
205,7540,8
206,7547,6
207,7578,32
208,7584,14
209,7585,20
210,7591,16
211,7621,9
212,7622,20
213,7643,8
214,7644,9
215,7645,22
216,7668,4
217,7681,7
218,7682,6
219,7695,5
220,7696,27
221,7698,2
222,7706,8
223,7707,4
224,7718,8
225,7720,12
226,7721,16
227,7728,35
228,7729,12
229,7762,62
230,7763,4
231,7764,7
232,7765,9
