,game_id,moby_url,title
0,276,https://www.mobygames.com/game/276/star-wars-episode-i-racer/,Star Wars: Episode I - Racer
1,369,https://www.mobygames.com/game/369/re-volt/,Re-Volt
2,385,https://www.mobygames.com/game/385/shadow-man/,Shadow Man
3,508,https://www.mobygames.com/game/508/magic-pockets/,Magic Pockets
4,555,https://www.mobygames.com/game/555/flashback-the-quest-for-identity/,Flashback: The Quest for Identity
5,587,https://www.mobygames.com/game/587/unreal-tournament/,Unreal Tournament
6,633,https://www.mobygames.com/game/633/worms-armageddon/,Worms: Armageddon
7,649,https://www.mobygames.com/game/649/quake-iii-arena/,Quake III: Arena
8,876,https://www.mobygames.com/game/876/prince-of-persia-3d/,Prince of Persia 3D
9,961,https://www.mobygames.com/game/961/virtua-cop-2/,Virtua Cop 2
10,1097,https://www.mobygames.com/game/1097/grand-theft-auto-2/,Grand Theft Auto 2
11,1159,https://www.mobygames.com/game/1159/super-street-fighter-ii-turbo/,Super Street Fighter II Turbo
12,1175,https://www.mobygames.com/game/1175/silver/,Silver
13,1179,https://www.mobygames.com/game/1179/centipede/,Centipede
14,1331,https://www.mobygames.com/game/1331/soldier-of-fortune/,Soldier of Fortune
15,1332,https://www.mobygames.com/game/1332/urban-chaos/,Urban Chaos
16,1429,https://www.mobygames.com/game/1429/tomb-raider-the-last-revelation/,Tomb Raider: The Last Revelation
17,1431,https://www.mobygames.com/game/1431/omikron-the-nomad-soul/,Omikron: The Nomad Soul
18,1500,https://www.mobygames.com/game/1500/daytona-usa/,Daytona USA
19,1525,https://www.mobygames.com/game/1525/legacy-of-kain-soul-reaver/,Legacy of Kain: Soul Reaver
20,1539,https://www.mobygames.com/game/1539/williams-arcade-classics/,Williams Arcade Classics
21,1544,https://www.mobygames.com/game/1544/expendable/,Expendable
22,1706,https://www.mobygames.com/game/1706/incoming-the-final-conflict/,Incoming: The Final Conflict
23,1842,https://www.mobygames.com/game/1842/starlancer/,Starlancer
24,1942,https://www.mobygames.com/game/1942/hidden-dangerous/,Hidden & Dangerous
25,2116,https://www.mobygames.com/game/2116/sega-swirl/,Sega Swirl
26,2182,https://www.mobygames.com/game/2182/rayman-2-the-great-escape/,Rayman 2: The Great Escape
27,2213,https://www.mobygames.com/game/2213/sydney-2000/,Sydney 2000
28,2419,https://www.mobygames.com/game/2419/kiss-psycho-circus-the-nightmare-child/,KISS: Psycho Circus - The Nightmare Child
29,2462,https://www.mobygames.com/game/2462/who-wants-to-beat-up-a-millionaire/,Who Wants to Beat Up a Millionaire
30,2492,https://www.mobygames.com/game/2492/frogger-2-swampys-revenge/,Frogger 2: Swampy's Revenge
31,2499,https://www.mobygames.com/game/2499/mdk-2/,MDK 2
32,2575,https://www.mobygames.com/game/2575/tony-hawks-pro-skater-2/,Tony Hawk's Pro Skater 2
33,2586,https://www.mobygames.com/game/2586/bang-gunship-elite/,Bang! Gunship Elite
34,2669,https://www.mobygames.com/game/2669/championship-surfer/,Championship Surfer
35,2686,https://www.mobygames.com/game/2686/hoyle-casino/,Hoyle Casino
36,2766,https://www.mobygames.com/game/2766/monaco-grand-prix-racing-simulation-2/,Monaco Grand Prix Racing Simulation 2
37,2767,https://www.mobygames.com/game/2767/redline-racer/,Redline Racer
38,2821,https://www.mobygames.com/game/2821/dave-mirra-freestyle-bmx/,Dave Mirra Freestyle BMX
39,2822,https://www.mobygames.com/game/2822/dino-crisis/,Dino Crisis
40,2823,https://www.mobygames.com/game/2823/qbert/,Q*bert
41,2882,https://www.mobygames.com/game/2882/test-drive-6/,Test Drive 6
42,2969,https://www.mobygames.com/game/2969/tomb-raider-chronicles/,Tomb Raider: Chronicles
43,2970,https://www.mobygames.com/game/2970/south-park-rally/,South Park Rally
44,2971,https://www.mobygames.com/game/2971/south-park-chefs-luv-shack/,South Park: Chef's Luv Shack
45,2978,https://www.mobygames.com/game/2978/the-grinch/,The Grinch
46,3015,https://www.mobygames.com/game/3015/fade-to-black/,Fade to Black
47,3042,https://www.mobygames.com/game/3042/mtv-sports-skateboarding/,MTV Sports: Skateboarding
48,3046,https://www.mobygames.com/game/3046/maximum-pool/,Maximum Pool
49,3061,https://www.mobygames.com/game/3061/caesars-palace-2000/,Caesars Palace 2000
50,3108,https://www.mobygames.com/game/3108/chicken-run/,Chicken Run
51,3164,https://www.mobygames.com/game/3164/wetrix/,Wetrix
52,3195,https://www.mobygames.com/game/3195/bust-a-move-4/,Bust-A-Move 4
53,3227,https://www.mobygames.com/game/3227/le-mans-24-hours/,Le Mans 24 Hours
54,3267,https://www.mobygames.com/game/3267/fur-fighters/,Fur Fighters
55,3268,https://www.mobygames.com/game/3268/the-typing-of-the-dead/,The Typing of the Dead
56,3308,https://www.mobygames.com/game/3308/giant-killers/,Giant Killers
57,3321,https://www.mobygames.com/game/3321/resident-evil-3-nemesis/,Resident Evil 3: Nemesis
58,3361,https://www.mobygames.com/game/3361/spirit-of-speed-1937/,Spirit of Speed 1937
59,3473,https://www.mobygames.com/game/3473/evil-dead-hail-to-the-king/,Evil Dead: Hail to the King
60,3486,https://www.mobygames.com/game/3486/kao-the-kangaroo/,Kao the Kangaroo
61,3488,https://www.mobygames.com/game/3488/wacky-races/,Wacky Races
62,3505,https://www.mobygames.com/game/3505/stupid-invaders/,Stupid Invaders
63,3510,https://www.mobygames.com/game/3510/deep-fighter/,Deep Fighter
64,3530,https://www.mobygames.com/game/3530/sonic-adventure/,Sonic Adventure
65,3543,https://www.mobygames.com/game/3543/dead-or-alive-2/,Dead or Alive 2
66,3553,https://www.mobygames.com/game/3553/wild-metal-country/,Wild Metal Country
67,3558,https://www.mobygames.com/game/3558/shenmue/,Shenmue
68,3567,https://www.mobygames.com/game/3567/tony-hawks-pro-skater/,Tony Hawk's Pro Skater
69,3573,https://www.mobygames.com/game/3573/phantasy-star-online/,Phantasy Star Online
70,3575,https://www.mobygames.com/game/3575/crazy-taxi/,Crazy Taxi
71,3588,https://www.mobygames.com/game/3588/the-house-of-the-dead-2/,The House of the Dead 2
72,3590,https://www.mobygames.com/game/3590/gauntlet-legends/,Gauntlet: Legends
