,game_id,sc_count
0,3,22
1,78,16
2,104,17
3,196,32
4,210,8
5,265,7
6,267,6
7,323,10
8,340,8
9,373,30
10,452,18
11,453,1
12,468,17
13,501,38
14,527,19
15,529,19
16,555,30
17,564,30
18,571,6
19,576,6
20,581,7
21,585,21
22,599,30
23,600,30
24,601,39
25,612,17
26,613,18
27,627,6
28,657,6
29,675,6
30,682,10
31,683,13
32,689,9
33,703,7
34,724,8
35,783,22
36,792,11
37,827,11
38,834,4
39,835,14
40,841,23
41,848,22
42,888,10
43,933,8
44,987,15
45,988,20
46,1068,29
47,1104,15
48,1266,14
49,1275,10
50,1317,23
51,1319,12
52,1334,27
53,1445,20
54,1447,19
55,1461,22
56,1533,12
57,1539,15
58,1540,6
59,1547,12
60,1603,13
61,1620,15
62,1621,5
63,1727,3
64,1777,9
65,1798,5
66,1809,14
67,1826,10
68,1835,22
69,1903,18
70,1904,17
71,1927,15
72,1928,11
73,1931,12
74,1932,19
75,1934,16
76,1969,23
77,1993,17
78,2055,14
79,2077,30
80,2078,11
81,2112,10
82,2272,11
83,2314,18
84,2337,11
85,2399,15
86,2464,7
87,2507,18
88,2565,1
89,2622,13
90,2781,11
91,2790,35
92,2916,19
93,2927,26
94,2929,8
95,2981,17
96,3112,29
97,3202,14
98,3215,39
99,3266,12
100,3345,11
101,3368,15
102,3600,10
103,3606,21
104,3654,9
105,3706,30
106,3887,4
107,3983,10
108,4020,19
109,4276,22
110,4287,32
111,4369,58
112,4398,13
113,4444,8
114,4501,29
115,4572,31
116,4620,17
117,4772,12
118,4835,14
119,4840,21
120,4848,12
121,4849,19
122,4872,5
123,4876,29
124,5012,0
125,5125,16
126,5199,35
127,5202,30
128,5388,5
129,5518,18
130,5565,10
131,5601,16
132,5619,50
133,5631,17
134,5755,15
135,5776,21
136,5780,18
137,5825,15
138,5985,7
139,6024,12
140,6026,15
141,6076,10
142,6116,12
143,6154,31
144,6162,12
145,6170,10
146,6197,10
147,6222,13
148,6239,30
149,6558,16
150,6564,16
151,6580,13
152,6583,20
153,6585,26
154,6586,34
155,6587,43
156,6588,30
157,6590,9
158,6591,32
159,6592,14
160,6593,30
161,6595,9
162,6596,16
163,6598,29
164,6600,19
165,6602,22
166,6604,5
167,6606,30
168,6608,26
169,6609,28
170,6610,9
171,6613,36
172,6616,27
173,6619,50
174,6622,6
175,6627,36
176,6629,16
177,6630,33
178,6632,24
179,6637,38
180,6638,20
181,6645,18
182,6655,30
183,6658,11
184,6660,19
185,6672,22
186,6673,30
187,6676,41
188,6680,24
189,6691,21
190,6692,20
191,6693,18
192,6696,32
193,6704,29
194,6730,27
195,6733,10
196,6747,16
