,game_id,moby_url,title
0,16,https://www.mobygames.com/game/16/outrun/,OutRun
1,122,https://www.mobygames.com/game/122/kings-quest/,King's Quest
2,124,https://www.mobygames.com/game/124/rampage/,Rampage
3,196,https://www.mobygames.com/game/196/prince-of-persia/,Prince of Persia
4,199,https://www.mobygames.com/game/199/golden-axe/,Golden Axe
5,242,https://www.mobygames.com/game/242/ys-the-vanished-omens/,Ys: The Vanished Omens
6,273,https://www.mobygames.com/game/273/speedball-2-brutal-deluxe/,Speedball 2: Brutal Deluxe
7,277,https://www.mobygames.com/game/277/xenon-2-megablast/,Xenon 2: Megablast
8,353,https://www.mobygames.com/game/353/road-rash/,Road Rash
9,448,https://www.mobygames.com/game/448/world-class-leader-board/,World Class Leader Board
10,452,https://www.mobygames.com/game/452/pga-tour-golf/,PGA Tour Golf
11,466,https://www.mobygames.com/game/466/marble-madness/,Marble Madness
12,576,https://www.mobygames.com/game/576/ms-pac-man/,Ms. Pac-Man
13,581,https://www.mobygames.com/game/581/james-pond-2-codename-robocod/,James Pond 2: Codename: RoboCod
14,599,https://www.mobygames.com/game/599/mortal-kombat/,Mortal Kombat
15,600,https://www.mobygames.com/game/600/mortal-kombat-ii/,Mortal Kombat II
16,601,https://www.mobygames.com/game/601/mortal-kombat-3/,Mortal Kombat 3
17,612,https://www.mobygames.com/game/612/world-cup-usa-94/,World Cup USA 94
18,613,https://www.mobygames.com/game/613/populous/,Populous
19,682,https://www.mobygames.com/game/682/cool-spot/,Cool Spot
20,683,https://www.mobygames.com/game/683/lemmings/,Lemmings
21,884,https://www.mobygames.com/game/884/ultima-iv-quest-of-the-avatar/,Ultima IV: Quest of the Avatar
22,1146,https://www.mobygames.com/game/1146/indiana-jones-and-the-last-crusade-the-action-game/,Indiana Jones and the Last Crusade: The Action Game
23,1178,https://www.mobygames.com/game/1178/montezumas-revenge/,Montezuma's Revenge
24,1217,https://www.mobygames.com/game/1217/world-games/,World Games
25,1266,https://www.mobygames.com/game/1266/pit-fighter/,Pit-Fighter
26,1424,https://www.mobygames.com/game/1424/after-burner/,After Burner
27,1434,https://www.mobygames.com/game/1434/space-harrier/,Space Harrier
28,1447,https://www.mobygames.com/game/1447/terminator-2-judgment-day/,Terminator 2: Judgment Day
29,1461,https://www.mobygames.com/game/1461/desert-strike-return-to-the-gulf/,Desert Strike: Return to the Gulf
30,1466,https://www.mobygames.com/game/1466/speedball/,Speedball
31,1823,https://www.mobygames.com/game/1823/california-games/,California Games
32,1826,https://www.mobygames.com/game/1826/california-games-ii/,California Games II
33,1837,https://www.mobygames.com/game/1837/gauntlet/,Gauntlet
34,1839,https://www.mobygames.com/game/1839/double-dragon/,Double Dragon
35,1883,https://www.mobygames.com/game/1883/rastan/,Rastan
36,1884,https://www.mobygames.com/game/1884/shinobi/,Shinobi
37,2019,https://www.mobygames.com/game/2019/altered-beast/,Altered Beast
38,2078,https://www.mobygames.com/game/2078/fifa-international-soccer/,FIFA International Soccer
39,2342,https://www.mobygames.com/game/2342/baku-baku-animal/,Baku Baku Animal
40,2619,https://www.mobygames.com/game/2619/ghostbusters/,Ghostbusters
41,2927,https://www.mobygames.com/game/2927/earthworm-jim/,Earthworm Jim
42,3142,https://www.mobygames.com/game/3142/the-fantastic-adventures-of-dizzy/,The Fantastic Adventures of Dizzy
43,3345,https://www.mobygames.com/game/3345/rampart/,Rampart
44,3475,https://www.mobygames.com/game/3475/operation-wolf/,Operation Wolf
45,3601,https://www.mobygames.com/game/3601/heroes-of-the-lance/,Heroes of the Lance
46,3762,https://www.mobygames.com/game/3762/strider/,Strider
47,3871,https://www.mobygames.com/game/3871/forgotten-worlds/,Forgotten Worlds
48,3881,https://www.mobygames.com/game/3881/taitos-super-space-invaders/,Taito's Super Space Invaders
49,3887,https://www.mobygames.com/game/3887/micro-machines/,Micro Machines
