,game_id,sc_count
0,124,10
1,133,5
2,137,3
3,138,3
4,139,4
5,140,4
6,141,4
7,298,5
8,360,5
9,467,2
10,574,2
11,575,4
12,576,6
13,984,3
14,1178,5
15,1215,10
16,1540,3
17,1618,5
18,1813,4
19,1823,6
20,1839,5
21,2619,8
22,3929,4
23,3955,3
24,4059,8
25,4632,0
26,4642,6
27,5386,4
28,5952,6
29,6739,8
30,6946,6
31,6947,5
32,7265,3
33,7301,5
34,7302,4
35,7511,5
36,7668,4
37,7720,4
38,8255,6
39,8724,3
40,8774,5
41,8793,9
42,8806,4
43,8843,4
44,8845,3
45,8847,4
46,8851,8
47,8853,4
48,8872,3
49,8874,5
50,8883,4
51,8888,3
52,8889,3
53,8904,4
54,8923,3
55,8929,5
56,8987,5
57,8989,3
58,9001,3
59,9008,4
60,9010,4
61,9011,4
62,9064,2
63,9065,5
64,9067,4
65,9074,6
66,9112,5
67,9113,3
68,9143,2
69,9144,7
70,9173,3
71,9174,5
72,9177,3
73,9202,3
74,9207,8
75,9260,4
76,9262,3
77,9263,4
78,9306,3
79,9317,4
80,9331,4
81,9358,4
82,9378,5
83,9396,4
84,9447,3
85,9448,5
86,9475,5
87,9522,4
88,9550,7
89,9686,2
90,9695,7
91,9700,6
92,9701,3
93,9748,4
94,9750,4
95,9751,7
96,9762,2
97,9764,5
98,9766,4
99,9771,5
100,9777,5
101,9789,4
102,9791,6
103,9801,3
104,9802,4
105,9806,8
106,9807,5
107,9905,5
108,9957,4
109,9959,2
110,9960,4
111,10004,4
112,10005,4
113,10011,4
114,10146,4
115,10150,8
116,10154,5
117,10156,7
118,10212,5
119,10218,6
120,10248,4
121,10261,4
122,10350,7
123,10370,5
124,10387,4
125,10388,3
126,10394,3
127,10412,6
128,10413,6
129,10415,3
130,10429,3
131,10430,5
132,10452,6
133,10455,4
134,10473,3
135,10474,3
136,10492,6
137,10504,6
138,10506,9
139,10526,9
140,10586,0
141,10630,5
142,10657,3
143,10737,2
144,10745,3
145,10770,4
146,10840,5
147,10841,4
148,10876,3
149,10914,7
150,10918,5
151,10919,5
152,10934,5
153,10935,4
154,10936,3
155,10942,6
156,10944,6
157,11026,4
158,11028,5
159,11162,4
160,11238,6
161,11240,9
162,11335,3
163,11400,4
164,11418,4
165,11428,11
