0.6993, 0.5223, 0.8138, 0.5894, 0.5228, 0.2849, 0.1662, 0.6657
0.4030, 0.2637, 0.5138, 0.2811, 0.3539, 0.0806, 0.0060, 0.2904
0.4279, 0.3112, 0.5287, 0.3032, 0.3783, 0.0878, 0.0346, 0.3297
0.4924, 0.3624, 0.6124, 0.3429, 0.4537, 0.1055, 0.0589, 0.3856
0.3685, 0.2405, 0.4932, 0.2463, 0.3434, 0.0585, 0.0107, 0.2515
0.3341, 0.2268, 0.4639, 0.2264, 0.3236, 0.0527, 0.0071, 0.2282
0.3381, 0.2311, 0.4253, 0.2162, 0.2894, 0.0605, 0.0354, 0.2259
0.2521, 0.1572, 0.3692, 0.1579, 0.2377, 0.0376, 0.0030, 0.1545
0.3800, 0.2542, 0.4976, 0.2343, 0.3283, 0.0798, 0.1640, 0.2664
0.3125, 0.1840, 0.4066, 0.1733, 0.2641, 0.0550, 0.1858, 0.2105
0.2228, 0.1291, 0.3285, 0.1199, 0.2145, 0.0301, 0.0066, 0.1328
0.3420, 0.2104, 0.4525, 0.2026, 0.2999, 0.0647, 0.1813, 0.2208
0.3059, 0.1823, 0.4306, 0.1632, 0.2728, 0.0567, 0.0415, 0.2295
0.2511, 0.1441, 0.3926, 0.1655, 0.2270, 0.0585, 0.0286, 0.1910
0.1721, 0.0970, 0.2519, 0.0634, 0.1347, 0.0258, 0.0179, 0.0932
0.4153, 0.2727, 0.4958, 0.2390, 0.3188, 0.0838, 0.2422, 0.2557
0.3445, 0.2710, 0.4052, 0.2348, 0.2606, 0.1200, 0.2826, 0.2748
0.1472, 0.0973, 0.2067, 0.0779, 0.1173, 0.0293, 0.0057, 0.0952
0.2557, 0.1777, 0.3137, 0.1552, 0.2019, 0.0693, 0.2052, 0.1861
0.4015, 0.2978, 0.4556, 0.2696, 0.3226, 0.1411, 0.3318, 0.3087
0.6393, 0.4929, 0.5607, 0.4571, 0.3250, 0.4714, 0.3821, 0.4679
0.2672, 0.2028, 0.2975, 0.1384, 0.2035, 0.0814, 0.2228, 0.1999
