0.8925,0.8901,0.8892,0.8920
0.6550,0.6712,0.6845,0.6876
0.7070,0.7452,0.7124,0.7418
0.7543,0.7989,0.7771,0.7834
0.6751,0.7307,0.7326,0.7246
0.6724,0.7247,0.7015,0.7142
0.6973,0.7494,0.6728,0.6841
0.6908,0.7079,0.6768,0.7227
0.7654,0.8327,0.7383,0.7681
0.6521,0.7513,0.6349,0.6735
0.6939,0.7273,0.6836,0.7126
0.7416,0.8233,0.7207,0.7540
0.7804,0.8439,0.7386,0.7929
0.7413,0.7859,0.7339,0.7623
0.6218,0.7073,0.6658,0.6890
0.7638,0.8337,0.7555,0.7674
0.6594,0.7264,0.6942,0.7006
0.5601,0.6151,0.5975,0.6273
0.5582,0.6458,0.5791,0.5858
0.7362,0.8001,0.7511,0.7811
0.7643,0.6071,0.9178,0.9714
0.5714,0.6580,0.5863,0.6188
